,Document,Topic,Name,CustomName,Top_n_words,Representative_document
301,heryer su te,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
302,alın sene şişli label e personel kafa çal maslak üst yer tanı,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
303,anlam,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
304,zam fayda dk kötü hizmet,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
305,wc sürekli temiz kullan alışveriş bozuk üzeri boz,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
306,kötü işletme kasiyer kaba umur değil davran diyebil hiçbir kaba mevcut kasa tutar fiş kontrol güven vakit başka değil unut vakit başka seç,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
307,artık aracı bin,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
308,aşırı kalabalık eski almak eziyet şişli trafik dışarı alma geçen sayı içeri hizmet almak eziyet engel koy wc bakım değil,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
309,fren hidrolik su koy kaza şikayet rağmen özür telefon aç,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
310,dk giriş kenar parket arkadaş bekle araban başka durak bekle deme başla arkadaş abiye bırak trafik polis başla dk_bekle ceza yaz kal,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
311,değil sokak bit yardım etmeyip tavır takın konu alın değer taşı ayrı hazine heryer önce kalite,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
312,motor koy isle,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
313,eleman kötü,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
314,tuvalet dışarı prefabrik yapı kişilik tir,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
315,yakın dene boz genel konu,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
316,tertemiz,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
317,hizmet_anlayış sıfır ilgi_alaka yardımsever müşteri hizmet şekil sorun dinle dönüş sağla,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
318,yıl geç ara ara nezaket rezil işle,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
319,ticari ahlak nasip zam gelecek yarı kapa oda yet giriş kapı ini kapa alma engelle yer bayi yakış alan ahlaki davran dolayı tavsiye,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
320,hava_su yıka yer su zam süre inan kısa arac maksimum yarı yıka tövbe,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
321,kazık adet küçük su şaka değil gram kuruyemiş alan kasa ürün şok olup bırak,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
322,güler_yüz karşıla yok içeri kasiyer telefon konuş küfür müşteri aldır etme,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
323,türlü oyun günah tan oda maximum fulle dolu artık basınç oyna sor sik çoğu alma lazım bom boş keyif kerem kullan tavsiye,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
324,personel kaba saba nezaket sıfır personel eğitim geç lazım hava_su,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
325,kişi yetiş uğraş otel eleman,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
326,ad renk geç bak şahıs karış hiçbir halk sorun yüz vade sorun görüş geç temmuz gece pensilvanya talimat alıp üstelik,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
327,saat ye yaklaş bekle personel sen şekil had konuş,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
328,shipp_in konu yardımcı,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
329,arkadaş hava arıza hava_bas lastik şüphe düş başka kontrol pis lütfen,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
330,resim dayı kaplama yırt yıka sonuç işle arkadaş rica ucuz eleman anla eleman,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
331,üst yüksek bahçelievler sanayi kullan test yer ora,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
332,olası sev düşük şeytan lastik_hava sürekli arıza,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
333,müdür müşteri_memnuniyet yönetim haber allahlık,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
334,yıka rezalet,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
335,yurt esnaf tane bağ gazoz alınca üstün kar el düşün öner zor_kal dur,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
336,berbat arkadaş wc çöp geç,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
337,lavabo dur bak,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
338,personel itici ego hava_su la olunca anla,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
339,yüksek anlam ifade,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
340,kanka düşün konu hak,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
341,açıl pozitif kullanım aç,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
342,dekor numara su uğra iki,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
343,motor boz koy,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
344,wc lavabo,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
345,kalite adres tavsiye kıyasla,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
346,alalı aşk hava_su alet dış wc herşey düzen güzel,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
347,lak ilgi_alaka performans göster müşteri küfür etmeme gerek aşıla,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
348,tuvalet personel_güler yüz ultra merkez kabul teşekkür,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
349,tuvalet personel_güler yüz bitir park_yer mevcut,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
350,içeri tercih yer,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
351,esenyurt bahçeşehir ara yanyol kalan,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
352,kalite hizmet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
353,hava_basınç cihaz hata düzel,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
354,genel_olarak güzel yer,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
355,hal umursa bekle yıka saat den akşam saat alma rağmen yoğun bahane müsait olma_rağmen yıka üç tane servis aylık davran saygı olarak sıkıntı yıka yönet yaz lütfen uyar müşteri kaybet,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
356,hal sohbet bekle sorun ürün etiket sor müdür öyle iste anlam,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
357,hava şimdi,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
358,sorun nokta eksik,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
359,bugün berbat lakayt ilgilen,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
360,hafta beş kere güzel hava_basınç bozuk yakış,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
361,pis lavabo,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
362,nothing just to refi li you gas tank google_tarafından çevir ilginç,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
363,göt in film the tank and göt out not much to give more han star google_tarafından çevir dışarı yıldız fazla,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
364,kalite koka açık ara ön hijyen mağaza düzen wc tertip aracı problem çıkar kalite teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
365,in hizmet kalite sev alış,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
366,in ayrıcalık edil tuvalet özellikle tercih sürekli nezih,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
367,tuvalet olamadık,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
368,duyar,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
369,bekle alabil işle,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
370,öncü etme bünye olma fenerbahçe olma kaynak san renk dur kelime hizmet wc performans açı yıl kullan kere kötü gerçi ye değil öneri sev,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
371,kalite,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
372,starbucks tun,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
373,bulun konum güler_yüz hizmet hız kasa klasik wc,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
374,beş_yıldız havlu harca abart keşke biraz tuvalet bütçe ayır,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
375,tuvalet bakım yakış kalite yoğun yer olma wc,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,True
376,şamandıra yüksel san hava_bas sebep sön,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
377,sayı kişi yer yetiş yüz girdi alma zor_kal,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
378,koro hastalık tavan dışarısı içeri klima son açıp içeri buzhane çevir ardından müdür iddia edil kişi tarafından uyar rağmen müşteri ters davran tane çikolata boz iddia eden saygı işle personel hapşır sağlık düşün işle sakın,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
379,tezgah kur fulle su tut makina at ukala iste hiçbir attır ye yıka yad yad makina kopar,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
380,yıldız apple şarj kulak güya çevre dost eski şarj uy amcamlar yıka güya çevre dost ye,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
381,üslup karşıla,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
382,dikkat içeri maske müşteri kabul_edil,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
383,oto_yıka ücret özen yık değ saygı tavsiye,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
384,üzeri cevizlibağ metrobüs güzel hijyenik tuvalet numara_yıldız teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
385,başka_yer tuvalet düşün wifi güleryüz sev sırf destek olmak ara,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
386,ilgili personel yoğun ilgi_alaka teşekkür not değil aile acil durum aile ara şoför yıllık deneyim tabii sefer ihtiyaç dahil talep edil kullan şoför olarak gurur duy tecrübe yaşa olabil,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
387,lokasyon uygun özellikle ara şe olarak yer park sorun,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
388,tuvalet tertemiz yoğun trafik dur kahve içmek ideal mekan oldukça ilgili kalite düzgün biçim temsil eden,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
389,hijyen kalite tuvalet değer önce ful ye,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
390,numara dört yıldız acıklı aile gez gider uğra alışveriş çocuk istek dondurma alacakken bird kabus algida dondurma ürün dondurma alma ayır kalite kalite dondurma yakış yıldız,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
391,tuvalet hijyen ön plan uygun bol çeşit personel ilgili çoğu konu bilgi bulun merkez konum itibari ulaşım oldukça,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
392,müdür bütün personel olgunsu hizmet mekan temiz özellikle wc hizmet kal tavsiye edebil aile teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
393,güler_yüz hız müşteri_memnuniyet sun hijyenik tuvalet teşekkür hak eden güzel,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
394,tane bak sıra_bekle yolüstü berbat hizmet koca hasan idare,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
395,hacim içeri takribi zam etkile zat fulle ayır zat aracı koy başar ye yorum yaz yorum oku başarı sır anla konu said dil getir arkadaş tavsiye derhal içeri temiz mahşer kübra görüş üzere hak_helal,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
396,arac çizgi ibre kıpırda citroen c yak çizgi düş imkan girdi talik akis çizgi yüksel net belli büyük sorun çöp,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
397,yet ayar mayıs din alma önce gösterge dış diş yanlış diş düş gösterge diş diş yüksel hava başka müşteri alırken,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
398,güneş doğ bardak çay iste çay bardak alt plastik bardak bardak tercih edil sağla ilgili alma yönet kağıt bardak rica divan yakış,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
399,sorun oluş geç_başla hayır,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
400,mobil güzel imkan olma_rağmen mobil almamak binbir türlü yokuş şart,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
401,lastik_hava cihaz hortum ucundaki aparat,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
402,algı olmama can sıkıcı alıp algı ürün almak büyük hayal kırık kısa_süre eksik algı gider dilek,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
403,alınca den alınca mazda kullan olarak tavsiye,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
404,öyle işlek yer oldukça büyük yer kalite müthiş jandarma vakıf bağ olarak hizmet,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
405,metre yakın fulle yer,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
406,tuvalet mehmetçik_vakıf olma ayrı nokta park_yer mevcut,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
407,dün uğra arac küçük problem oluş ilgi güvenlik görev an çözüm nokta yardımcı olma başka idari görev nokta alakadar şaşır mutlu teşekkür mehmetçik_vakıf,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
408,bilgisayar toplantı katıl gerek toplantı düşün içeri priz alan içecek alıp süre büyük müşteri inan ilgilen,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
409,hesap güler_yüz hizmet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
410,maslak taraf düş dön uğra ye wc kullan hoş yer,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
411,güler_yüz personel hijyen düzen ön plan güven tuvalet çeşit uygun soğuk sıcak,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
412,mola tercih wc ye içecek ara,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
413,mehmetçik_vakıf kos koca te kasa görev olarak kişi koy içeri kuyruk ton milyon dön işle rezalet,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
414,ten full ayıp hak tecavüz artık ofis sorun_yaşa tavsiye,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
415,mehmetçik_vakıf ağır kazık ye sabah lamba yak girdi yağı ye gün öğlen başka internet bak mehmet güven ürün yer kazıkla gerçekten üz,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
416,almak durum kal başbaşa bağır euro konuş rezalet su,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
417,haber,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
418,üzeri yık geçmiş yıka dönem değişik yıka sürü kazan makine tane sok olunca kalite yıka üst üst adlık yıka_makine silecek bant sabitle rağmen kır kır durum kusur bak cevap yıka yıka zarar,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
419,oldukça büyük güzel hizmet mekan isim anlaş üzere mehmetçik_vakıf ücra köşe yer alma his mehmetçik_vakıf olarak uygun olma bekle tem otoyol üzeri mehmetçik_vakıf orantı ticari kaygı layıkıyla göster isim aldan alma karar hak kaza destek,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
420,sürekli yeme sorun_yaşa sonra düzel çeyrek kullan,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
421,anlayış motor arıza kaput açık sorun anla kulu ilgilen içeri yetkili show kişi geçmiş yardımcı olabil miyar iste kaba deyip yakın uzak geç,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
422,yenile bölüm unlu mamul kal yenile sık unlu mamul üre divan yakış aç poğaça bayat gün önce kalan ürün,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
423,beğen temiz güleryüz geçerli,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
424,wc ürün yeterli güler_yüz personel,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
425,saçmasapan yer fiş mi soru artık zor kardeş,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
426,baştan son yardımsever nazik,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
427,servis bekle ara düzen,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
428,güzel yer ekip arkadaş başarı dile,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
429,hijyen kalite,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
430,tuvalet starbucks the go lokasyon tem otoyol bağla nokta,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
431,ev_yakın sürekli sürekli kalabalık olma_rağmen bekle alırken oto_yıka mevcut dış güzel yıka yavaşla,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
432,sürekli personel herşey,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
433,oto_yıka kat çıkar köpük kullan anla yer,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
